,,,,,,,,,
19,Toyota Motor,Japan,"375,235",13,"$274,491",-1.7%,"$18,110 ",-28.6%,"$559,765"
20,TotalEnergies,France,"101,279",27,"$263,310",42.6%,"$20,526 ",28.0%,"$303,864"
21,Glencore,Switzerland,"81,706",23,"$255,984",25.6%,"$17,320 ",248.2%,"$132,583"
22,BP,Britain,"67,600",35,"$248,891",51.6%,"-$2,487 ",-132.9%,"$288,120"
23,Chevron,U.S.,"43,846",37,"$246,252",51.6%,"$35,465 ",127.0%,"$257,709"
24,AmerisourceBergen,U.S.,"41,500",21,"$238,587",11.5%,"$1,699 ",10.3%,"$56,561"
25,Samsung Electronics,South Korea,"270,372",18,"$234,129",-4.2%,"$42,398 ",23.6%,"$356,470"
26,Costco Wholesale,U.S.,"304,000",26,"$226,954",15.8%,"$5,844 ",16.7%,"$64,166"
27,Hon Hai Precision Industry,Taiwan,"767,062",20,"$222,535",3.7%,"$4,751 ",-4.8%,"$134,618"
28,Industrial & Commercial Bank of China,China,"427,587",22,"$214,766",2.8%,"$53,589 ",-0.8%,"$5,742,860"
29,China Construction Bank,China,"376,682",24,"$202,753",1.2%,"$48,145 ",2.7%,"$5,016,806"
30,Microsoft,U.S.,"221,000",33,"$198,270",18.0%,"$72,738 ",18.7%,"$364,840"
31,Stellantis,Netherlands,"272,367",29,"$188,888",6.9%,"$17,669 ",5.2%,"$198,629"
32,Agricultural Bank of China,China,"452,258",28,"$187,061",3.1%,"$38,524 ",3.0%,"$4,919,030"
33,Ping An Insurance,China,"344,223",25,"$181,566",-9.0%,"$12,454 ",-20.9%,"$1,614,738"
34,Cardinal Health,U.S.,"46,035",36,"$181,364",11.6%,-$933 ,-252.7%,"$43,878"
35,Cigna,U.S.,"70,231",30,"$180,516",3.7%,"$6,668 ",24.3%,"$143,932"
36,Marathon Petroleum,U.S.,"17,800",49,"$180,012",27.6%,"$14,516 ",49.1%,"$89,904"
37,Phillips 66,U.S.,"13,000",74,"$175,702",53.0%,"$11,024 ",737.1%,"$76,442"
38,Sinochem Holdings,China,"223,448",31,"$173,834",0.9%,-$1 ,-,"$229,659"
39,China Railway Engineering Group,China,"314,792",34,"$171,669",3.1%,"$2,035 ",9.8%,"$234,956"
40,Valero Energy,U.S.,"9,743",82,"$171,189",58.0%,"$11,528 ",1139.6%,"$60,982"
41,Gazprom,Russia,"468,000",52,"$167,832",21.9%,"$17,641 ",-37.9%,"$352,199"
42,China National Offshore Oil,China,"81,775",65,"$164,762",29.8%,"$16,988 ",85.0%,"$219,416"
43,China Railway Construction,China,"342,098",39,"$163,037",3.1%,"$1,800 ",5.6%,"$221,617"
44,China Baowu Steel Group,China,"245,675",44,"$161,698",7.3%,"$2,493 ",-16.8%,"$179,760"
45,Mitsubishi,Japan,"79,706",41,"$159,371",3.7%,"$8,723 ",4.5%,"$166,889"
46,Ford Motor,U.S.,"173,000",53,"$158,057",15.9%,"-$1,981 ",-111.0%,"$255,884"
47,Mercedes-Benz Group,Germany,"168,797",38,"$157,782",-0.3%,"$15,252 ",-43.9%,"$277,436"
48,Home Depot,U.S.,"471,600",43,"$157,403",4.1%,"$17,105 ",4.1%,"$76,445"
49,Bank of China,China,"306,182",42,"$156,924",3.0%,"$33,811 ",0.7%,"$4,192,115"
50,General Motors,U.S.,"167,000",64,"$156,735",23.4%,"$9,934 ",-0.8%,"$264,037"
51,Elevance Health,U.S.,"102,300",50,"$156,595",13.0%,"$6,025 ",-1.3%,"$102,772"
52,JD.com,China,"450,679",46,"$155,533",5.4%,"$1,543 ",-,"$86,303"
53,JPMorgan Chase,U.S.,"293,723",63,"$154,792",21.7%,"$37,676 ",-22.1%,"$3,665,743"
54,China Life Insurance,China,"180,619",40,"$151,487",-3.6%,"$6,859 ",122.2%,"$888,306"
55,Electricité de France,France,"165,028",95,"$150,902",51.1%,"-$18,869 ",-412.1%,"$414,137"
56,Equinor,Norway,"21,936",114,"$150,806",65.9%,"$28,746 ",235.7%,"$158,021"
57,BMW Group,Germany,"149,475",59,"$149,991",14.0%,"$18,870 ",28.9%,"$263,470"
58,Kroger,U.S.,"430,000",51,"$148,258",7.5%,"$2,244 ",35.6%,"$49,623"
59,Enel,Italy,"65,124",90,"$147,790",42.0%,"$1,769 ",-53.1%,"$234,332"
60,Centene,U.S.,"74,300",66,"$144,547",14.7%,"$1,202 ",-10.8%,"$76,870"
61,ENI,Italy,"32,188",111,"$140,607",52.9%,"$14,606 ",112.2%,"$162,323"
62,China Mobile Communications,China,"452,202",57,"$139,597",5.8%,"$14,718 ",0.6%,"$331,724"
63,China Communications Construction,China,"221,017",60,"$138,270",5.8%,"$1,255 ",-10.2%,"$344,369"
64,Verizon Communications,U.S.,"117,100",54,"$136,835",2.4%,"$21,256 ",-3.7%,"$379,680"
65,China Minmetals,China,"183,298",58,"$133,541",1.3%,$877 ,42.2%,"$153,155"
66,Walgreens Boots Alliance,U.S.,"262,500",45,"$132,703",-10.7%,"$4,337 ",70.6%,"$90,124"
67,Allianz,Germany,"159,253",47,"$129,059",-10.7%,"$7,087 ",-9.3%,"$1,089,944"
68,Alibaba Group Holding,China,"235,216",55,"$126,813",-4.6%,"$10,625 ",9.5%,"$255,263"
69,Xiamen C&D,China,"40,959",77,"$125,971",12.9%,$454 ,-59.2%,"$104,907"
70,Honda Motor,Japan,"197,039",61,"$124,912",-3.6%,"$4,813 ",-23.5%,"$185,853"
71,Petrobras,Brazil,"45,149",128,"$124,474",48.2%,"$36,623 ",84.3%,"$187,191"
72,Shandong Energy Group,China,"232,841",69,"$124,089",3.4%,$33 ,-81.2%,"$137,900"
73,E.ON,Germany,"69,378",112,"$121,646",33.0%,"$1,926 ",-65.3%,"$142,988"
74,China Resources,China,"379,944",70,"$121,643",1.7%,"$4,662 ",2.6%,"$331,830"
75,Fannie Mae,U.S.,"8,000",93,"$121,596",19.7%,"$12,923 ",-41.7%,"$4,305,288"
76,China Energy Investment,China,"310,753",85,"$121,584",13.5%,"$5,699 ",4.5%,"$281,587"
77,Comcast,U.S.,"186,000",73,"$121,427",4.3%,"$5,370 ",-62.1%,"$257,275"
78,AT&T,U.S.,"160,700",32,"$120,741",-28.5%,"-$8,524 ",-142.4%,"$402,853"
79,Deutsche Telekom,Germany,"206,759",62,"$120,108",-6.6%,"$8,415 ",70.4%,"$318,596"
80,Pemex,Mexico,"120,054",166,"$118,537",60.7%,"$4,994 ",-,"$115,262"
81,Meta Platforms,U.S.,"86,482",71,"$116,609",-1.1%,"$23,200 ",-41.1%,"$185,727"
82,Bank of America,U.S.,"216,823",105,"$115,053",22.6%,"$27,528 ",-13.9%,"$3,051,375"
83,China Southern Power Grid,China,"271,202",89,"$113,674",9.2%,"$1,516 ",16.2%,"$166,026"
84,SAIC Motor,China,"154,863",68,"$110,612",-8.5%,"$2,396 ",-37.0%,"$143,552"
85,Hyundai Motor,South Korea,"72,689",92,"$110,412",7.4%,"$5,705 ",32.1%,"$203,299"
86,China Post Group,China,"752,547",81,"$110,271",1.5%,"$4,897 ",-18.2%,"$2,131,968"
87,COFCO,China,"103,537",91,"$110,222",6.9%,"$1,766 ",17.9%,"$100,848"
88,Reliance Industries,India,"376,000",104,"$109,523",16.5%,"$8,307 ",1.9%,"$208,710"
89,Engie,France,"96,454",130,"$109,175",30.6%,$227 ,-94.8%,"$251,268"
90,Target,U.S.,"440,000",87,"$109,120",2.9%,"$2,780 ",-60.0%,"$53,335"
91,AXA,France,"90,443",48,"$109,067",-24.5%,"$7,021 ",-18.6%,"$743,376"
92,SK,South Korea,"124,499",117,"$105,959",20.3%,$851 ,-50.6%,"$154,620"
93,Mitsui,Japan,"46,811",88,"$105,694",1.0%,"$8,353 ",2.6%,"$115,873"
94,Indian Oil,India,"32,791",142,"$105,349",32.4%,"$1,219 ",-63.8%,"$53,808"
95,Xiamen ITG Holding Group,China,"32,856",106,"$103,090",9.9%,$290 ,-24.5%,"$46,715"
96,Itochu,Japan,"133,051",78,"$103,029",-5.9%,"$5,914 ",-19.0%,"$98,777"
97,Dell Technologies,U.S.,"133,000",86,"$102,301",-4.4%,"$2,442 ",-56.1%,"$89,611"
98,Archer Daniels Midland,U.S.,"41,181",124,"$101,556",19.1%,"$4,340 ",60.2%,"$59,774"
99,Citigroup,U.S.,"238,104",141,"$101,078",26.6%,"$14,845 ",-32.4%,"$2,416,676"
100,CITIC Group,China,"172,761",102,"$100,769",4.8%,"$3,904 ",-20.2%,"$1,536,521"
101,United Parcel Service,U.S.,"404,700",97,"$100,338",3.1%,"$11,548 ",-10.4%,"$71,124"
102,Pfizer,U.S.,"83,000",137,"$100,330",23.4%,"$31,372 ",42.7%,"$197,205"
103,Deutsche Post DHL Group,Germany,"554,975",99,"$99,324",2.8%,"$5,636 ",-5.7%,"$72,853"
104,Banco Santander,Spain,"204,300",146,"$99,231",26.1%,"$10,102 ",5.2%,"$1,850,881"
105,PowerChina,China,"182,424",100,"$99,020",2.7%,$621 ,-8.6%,"$187,768"
106,Nestlé,Switzerland,"275,000",103,"$98,931",3.8%,"$9,712 ",-47.5%,"$146,174"
107,Life Insurance Corp. of India,India,"104,036",98,"$98,535",1.3%,"$4,483 ",709.4%,"$557,673"
108,Lowe's,U.S.,"244,500",101,"$97,059",0.8%,"$6,437 ",-23.8%,"$43,708"
109,Nippon Telegraph and Telephone,Japan,"338,651",83,"$97,049",-10.3%,"$8,962 ",-14.8%,"$190,665"
110,PTT,Thailand,"30,628",177,"$96,162",36.1%,"$2,604 ",-23.2%,"$98,832"
111,Huawei Investment & Holding,China,"207,000",96,"$95,490",-3.3%,"$5,283 ",-70.0%,"$154,237"
112,Johnson & Johnson,U.S.,"152,700",107,"$94,943",1.2%,"$17,941 ",-14.1%,"$187,378"
113,Sinopharm,China,"201,508",80,"$94,075",-13.5%,"$1,101 ",-91.0%,"$81,654"
114,FedEx,U.S.,"518,249",129,"$93,512",11.4%,"$3,826 ",-26.9%,"$85,994"
115,COSCO Shipping,China,"107,793",127,"$93,181",10.8%,"$6,233 ",-2.9%,"$161,552"
116,Humana,U.S.,"67,100",132,"$92,870",11.8%,"$2,806 ",-4.3%,"$43,055"
117,Brookfield,Canada,"202,500",158,"$92,769",22.5%,"$2,056 ",-48.2%,"$441,284"
118,Bosch Group,Germany,"421,338",108,"$92,766",-0.4%,"$1,367 ",-42.6%,"$106,964"
119,BASF,Germany,"111,481",109,"$91,847",-1.2%,-$660 ,-110.1%,"$90,132"
120,People's Insurance Co. of China,China,"177,852",110,"$91,535",-0.7%,"$3,639 ",9.3%,"$218,805"
121,Royal Ahold Delhaize,Netherlands,"249,000",115,"$91,486",2.4%,"$2,678 ",0.8%,"$51,808"
122,ENEOS Holdings,Japan,"44,617",140,"$91,437",14.1%,"$1,062 ",-77.8%,"$74,993"
123,Hengli Group,China,"170,125",75,"$90,944",-19.9%,$356 ,-85.0%,"$48,633"
124,Amer International Group,China,"23,175",76,"$90,498",-19.2%,"$1,497 ",-25.6%,"$31,835"
125,Carrefour,France,"334,640",119,"$90,062",2.5%,"$1,418 ",11.9%,"$60,340"
126,Energy Transfer,U.S.,"12,565",184,"$89,876",33.3%,"$4,756 ",-13.1%,"$105,643"
127,BNP Paribas,France,"193,122",123,"$89,564",5.0%,"$10,724 ",-4.4%,"$2,845,023"
128,State Farm Insurance,U.S.,"60,519",135,"$89,328",8.6%,"-$6,654 ",-619.5%,"$318,243"
129,Seven & I Holdings,Japan,"125,701",147,"$88,078",12.3%,"$2,095 ",10.9%,"$77,461"
130,HSBC Holdings,Britain,"219,199",149,"$87,807",13.5%,"$16,035 ",15.2%,"$2,966,530"
131,China FAW Group,China,"119,487",79,"$87,679",-19.9%,"$3,846 ",6.8%,"$86,465"
132,China Telecommunications,China,"392,726",131,"$87,166",4.3%,"$2,061 ",6.5%,"$151,749"
133,Freddie Mac,U.S.,"7,819",191,"$86,717",31.6%,"$9,327 ",-23.0%,"$3,208,333"
134,Crédit Agricole,France,"72,758",84,"$86,471",-19.7%,"$5,718 ",-17.2%,"$2,312,852"
135,PepsiCo,U.S.,"315,000",143,"$86,392",8.7%,"$8,910 ",17.0%,"$92,187"
136,Zhejiang Rongsheng Holding Group,China,"23,316",180,"$86,166",24.0%,$170 ,-85.5%,"$56,816"
137,Assicurazioni Generali,Italy,"82,061",72,"$85,750",-26.8%,"$3,063 ",-9.0%,"$553,827"
138,Wuchan Zhongda Group,China,"24,247",120,"$85,710",-1.7%,$581 ,-5.9%,"$21,030"
139,Petronas,Malaysia,"49,771",216,"$85,365",42.6%,"$20,999 ",108.1%,"$161,493"
140,Sony,Japan,"112,994",116,"$85,255",-3.5%,"$6,923 ",-11.8%,"$241,383"
141,Pertamina,Indonesia,"33,596",223,"$84,888",47.6%,"$3,807 ",86.1%,"$87,811"
142,XMXYG,China,"15,364",160,"$83,639",11.4%,$300 ,-26.8%,"$42,458"
143,Christian Dior,France,"180,597",156,"$83,283",9.7%,"$6,097 ",4.3%,"$140,792"
144,Wells Fargo,U.S.,"238,000",134,"$82,859",0.5%,"$13,182 ",-38.8%,"$1,881,016"
145,Walt Disney,U.S.,"195,800",183,"$82,722",22.7%,"$3,145 ",57.6%,"$203,631"
146,China North Industries Group,China,"216,339",136,"$82,689",1.1%,"$1,788 ",2.7%,"$75,355"
147,Tencent Holdings,China,"108,436",121,"$82,440",-5.1%,"$27,984 ",-19.7%,"$228,808"
148,Japan Post Holdings,Japan,"227,369",94,"$82,291",-17.9%,"$3,185 ",-28.7%,"$2,230,764"
149,ConocoPhillips,U.S.,"9,500",284,"$82,156",69.9%,"$18,680 ",131.2%,"$93,829"
150,Aviation Industry Corp. of China,China,"383,000",144,"$81,671",2.9%,"$1,528 ",78.7%,"$185,527"
151,Maersk Group,Denmark,"104,260",206,"$81,529",32.0%,"$29,198 ",62.7%,"$93,680"
152,Tesla,U.S.,"127,855",242,"$81,462",51.4%,"$12,556 ",127.5%,"$82,338"
153,Hitachi,Japan,"322,525",113,"$80,389",-12.0%,"$4,796 ",-7.7%,"$94,180"
154,Procter & Gamble,U.S.,"106,000",154,"$80,187",5.3%,"$14,742 ",3.0%,"$117,208"
155,ArcelorMittal,Luxembourg,"154,352",153,"$79,844",4.3%,"$9,302 ",-37.8%,"$94,547"
156,Tesco,Britain,"222,306",126,"$79,687",-5.4%,$903 ,-55.6%,"$55,843"
157,Pacific Construction Group,China,"301,565",150,"$79,478",3.1%,"$5,188 ",-7.3%,"$55,154"
158,Oil & Natural Gas,India,"37,047",190,"$78,746",19.4%,"$4,414 ",-27.8%,"$74,851"
159,U.S. Postal Service,U.S.,"576,065",151,"$78,620",2.0%,"$56,046 ",-,"$46,115"
160,Nissan Motor,Japan,"139,418",161,"$78,287",4.4%,"$1,639 ",-14.6%,"$132,579"
161,Bank of Communications,China,"91,823",155,"$78,213",2.9%,"$13,699 ",0.9%,"$1,883,724"
162,Siemens,Germany,"311,000",159,"$77,860",3.1%,"$4,027 ",-45.3%,"$148,184"
163,Jinneng Holding Group,China,"470,839",163,"$77,761",4.3%,$359 ,-,"$160,235"
164,Albertsons,U.S.,"198,650",170,"$77,650",8.0%,"$1,514 ",-6.6%,"$26,168"
165,Guangzhou Automobile Industry Group,China,"119,425",186,"$77,345",15.5%,$623 ,2.6%,"$57,256"
166,Aluminum Corp. of China,China,"130,416",139,"$76,946",-4.3%,"$1,698 ",21.3%,"$90,619"
167,General Electric,U.S.,"172,000",165,"$76,555",3.2%,$225 ,-,"$187,788"
168,Taiwan Semiconductor Manufacturing,Taiwan,"73,090",225,"$76,022",33.8%,"$33,343 ",57.2%,"$161,661"
169,Shaanxi Coal & Chemical Industry,China,"138,047",209,"$75,871",23.8%,"$1,386 ",132.4%,"$104,788"
170,Munich Re Group,Germany,"41,389",133,"$75,747",-8.8%,"$3,610 ",4.1%,"$318,574"
171,Jiangxi Copper,China,"33,248",176,"$74,927",5.7%,$464 ,-0.1%,"$30,396"
172,Shandong Weiqiao Pioneering Group,China,"98,100",199,"$74,923",17.5%,$931 ,-47.0%,"$37,309"
173,China Vanke,China,"131,817",178,"$74,901",6.7%,"$3,362 ",-3.7%,"$254,765"
174,Wilmar International,Singapore,"100,000",192,"$73,399",11.6%,"$2,403 ",27.1%,"$60,402"
175,China Merchants Group,China,"276,019",152,"$73,283",-4.5%,"$8,474 ",-0.6%,"$381,608"
176,Toyota Tsusho,Japan,"66,944",172,"$72,760",1.8%,"$2,099 ",6.1%,"$48,042"
177,JBS,Brazil,"260,000",194,"$72,626",11.7%,"$2,995 ",-21.2%,"$39,370"
178,Repsol,Spain,"23,426",251,"$72,536",38.6%,"$4,471 ",51.3%,"$63,982"
179,China Merchants Bank,China,"112,999",174,"$72,317",1.8%,"$20,517 ",10.4%,"$1,470,004"
180,BHP Group,Australia,"39,210",213,"$71,502",17.6%,"$30,900 ",173.4%,"$95,166"
181,Nippon Life Insurance,Japan,"88,528",164,"$71,213",-4.3%,$873 ,-71.7%,"$659,896"
182,Dai-ichi Life Holdings,Japan,"60,997",167,"$70,329",-3.8%,"$1,421 ",-61.0%,"$463,906"
183,MetLife,U.S.,"45,000",173,"$69,898",-1.7%,"$2,539 ",-61.3%,"$666,611"
184,Roche Group,Switzerland,"103,613",169,"$69,596",-3.4%,"$13,014 ",-14.6%,"$95,319"
185,Goldman Sachs Group,U.S.,"48,500",195,"$68,711",5.7%,"$11,261 ",-48.0%,"$1,441,799"
186,Sysco,U.S.,"70,510",261,"$68,636",33.8%,"$1,359 ",159.2%,"$22,086"
187,Mitsubishi UFJ Financial Group,Japan,"127,122",240,"$68,567",26.8%,"$8,249 ",-18.1%,"$2,913,963"
188,Dongfeng Motor,China,"134,637",122,"$68,416",-20.6%,"$1,211 ",-15.9%,"$73,288"
189,AEON,Japan,"369,404",148,"$67,985",-13.0%,$159 ,173.4%,"$90,607"
190,Marubeni,Japan,"49,546",157,"$67,898",-10.4%,"$4,012 ",6.2%,"$59,919"
191,China Poly Group,China,"118,007",181,"$67,696",-1.9%,"$1,288 ",-36.7%,"$265,106"
192,China Pacific Insurance (Group),China,"104,502",182,"$67,696",-0.9%,"$3,658 ",-12.1%,"$315,534"
193,Beijing Automotive Group,China,"95,000",162,"$67,282",-9.9%,$296 ,-6.9%,"$68,342"
194,Bunge,U.S.,"23,000",219,"$67,232",13.7%,"$1,610 ",-22.5%,"$24,580"
195,RTX,U.S.,"182,000",197,"$67,074",4.2%,"$5,197 ",34.5%,"$158,864"
196,Kia,South Korea,"35,847",212,"$67,055",9.8%,"$4,191 ",0.7%,"$58,596"
197,Boeing,U.S.,"156,000",204,"$66,608",6.9%,"-$4,935 ",-,"$137,100"
198,StoneX Group,U.S.,"3,615",327,"$66,036",55.3%,$207 ,78.1%,"$19,860"
199,Lockheed Martin,U.S.,"116,000",185,"$65,984",-1.6%,"$5,732 ",-9.2%,"$52,880"
200,Morgan Stanley,U.S.,"82,427",211,"$65,936",7.9%,"$11,029 ",-26.6%,"$1,180,231"
201,POSCO Holdings,South Korea,"38,175",188,"$65,850",-0.9%,"$2,446 ",-57.6%,"$78,716"
202,Vinci,France,"271,648",218,"$65,750",10.7%,"$4,479 ",45.9%,"$119,494"
203,OMV Group,Austria,"22,308",330,"$65,523",55.9%,"$3,897 ",50.7%,"$60,210"
204,LG Electronics,South Korea,"74,000",187,"$64,953",-2.9%,$927 ,2.8%,"$43,846"
205,Greenland Holding Group,China,"70,177",125,"$64,802",-23.3%,$150 ,-84.3%,"$197,953"
206,Country Garden Holdings,China,"69,932",138,"$63,979",-21.1%,-$900 ,-121.7%,"$252,924"
207,Itaú Unibanco Holding,Brazil,"101,094",333,"$63,884",55.2%,"$5,755 ",16.0%,"$439,546"
208,Société Générale,France,"115,466",220,"$63,417",7.4%,"$2,122 ",-68.2%,"$1,586,435"
209,China Huaneng Group,China,"124,588",215,"$63,284",5.4%,"$1,125 ",65.1%,"$205,184"
210,Unilever,Britain,"127,056",205,"$63,182",1.9%,"$8,038 ",12.4%,"$83,035"
211,Intel,U.S.,"131,900",145,"$63,054",-20.2%,"$8,014 ",-59.7%,"$182,103"
212,BYD,China,"570,060",436,"$63,041",92.4%,"$2,471 ",423.4%,"$71,603"
213,HP,U.S.,"58,000",202,"$62,983",-0.8%,"$3,203 ",-50.7%,"$38,587"
214,Alimentation Couche-Tard,Canada,"122,000",308,"$62,810",37.3%,"$2,683 ",-0.8%,"$29,592"
215,TD Synnex,U.S.,"28,500",451,"$62,344",97.2%,$651 ,64.9%,"$29,734"
216,PKN ORLEN Group,Poland,"64,494",424,"$62,326",83.2%,"$7,520 ",161.0%,"$62,060"
217,Lenovo Group,China,"77,000",171,"$61,947",-13.5%,"$1,608 ",-20.8%,"$38,920"
218,Panasonic Holdings,Japan,"233,391",193,"$61,903",-5.9%,"$1,962 ",-13.7%,"$60,717"
219,Airbus,Netherlands,"134,267",207,"$61,805",0.2%,"$4,467 ",-10.3%,"$123,712"
220,Accenture,Ireland,"721,000",268,"$61,594",21.9%,"$6,877 ",16.4%,"$47,263"
221,Idemitsu Kosan,Japan,"16,795",250,"$61,424",17.4%,"$1,874 ",-24.7%,"$36,653"
222,Shenghong Holding Group,China,"39,059",241,"$61,251",13.5%,$428 ,-54.6%,"$29,893"
223,Industrial Bank,China,"69,840",208,"$60,962",-0.5%,"$13,584 ",6.0%,"$1,343,541"
224,IBM,U.S.,"303,100",168,"$60,530",-16.3%,"$1,639 ",-71.5%,"$127,243"
225,Zhejiang Geely Holding Group,China,"131,517",229,"$60,396",8.1%,$945 ,-35.8%,"$81,291"
226,HCA Healthcare,U.S.,"250,500",221,"$60,233",2.5%,"$5,643 ",-18.9%,"$52,438"
227,Prudential Financial,U.S.,"39,583",175,"$60,050",-15.3%,"-$1,438 ",-118.6%,"$689,917"
228,Louis Dreyfus,Netherlands,"16,300",276,"$59,931",20.9%,"$1,006 ",44.3%,"$21,613"
229,HBIS Group,China,"99,807",189,"$59,563",-10.0%,$50 ,-77.5%,"$78,229"
230,Caterpillar,U.S.,"109,100",265,"$59,427",16.6%,"$6,705 ",3.3%,"$81,943"
231,Merck,U.S.,"68,000",262,"$59,283",15.8%,"$14,519 ",11.3%,"$109,160"
232,Deutsche Bahn,Germany,"324,136",230,"$59,210",6.4%,-$262 ,-,"$81,415"
233,Bharat Petroleum,India,"9,193",295,"$59,114",26.1%,$265 ,-83.1%,"$22,912"
234,World Kinect,U.S.,"5,214",455,"$59,043",88.4%,$114 ,54.8%,"$8,165"
235,State Bank of India,India,"235,858",236,"$58,951",7.9%,"$6,930 ",45.9%,"$725,264"
236,Nippon Steel Corporation,Japan,"114,029",214,"$58,923",-2.8%,"$5,127 ",-9.6%,"$72,074"
237,Energie Baden-Wurttemberg,Germany,"25,339",368,"$58,901",55.0%,"$1,828 ",325.7%,"$74,160"
238,New York Life Insurance,U.S.,"15,050",263,"$58,445",14.2%,"-$1,127 ",-506.6%,"$392,126"
239,Enterprise Products Partners,U.S.,"7,300",343,"$58,186",42.6%,"$5,490 ",18.4%,"$68,108"
240,AbbVie,U.S.,"50,000",227,"$58,054",3.3%,"$11,836 ",2.5%,"$138,805"
241,Anheuser-Busch InBev,Belgium,"166,632",239,"$57,786",6.4%,"$5,969 ",27.8%,"$212,943"
242,Tokyo Electric Power,Japan,"38,007",290,"$57,616",21.9%,-$913 ,-1919.2%,"$102,178"
243,Plains GP Holdings,U.S.,"4,100",329,"$57,342",36.3%,$168 ,180.0%,"$29,207"
244,Zhejiang Hengyi Group,China,"21,261",264,"$57,332",12.2%,-$153 ,-189.3%,"$19,554"
245,Dow,U.S.,"37,800",235,"$56,902",3.5%,"$4,582 ",-27.4%,"$60,603"
246,Iberdrola,Spain,"40,090",304,"$56,741",22.7%,"$4,564 ",-0.6%,"$165,030"
247,China National Building Material Group,China,"208,857",196,"$56,514",-12.3%,$629 ,4.3%,"$101,920"
248,American International Group,U.S.,"26,200",255,"$56,437",8.4%,"$10,276 ",9.5%,"$526,634"
249,Talanx,Germany,"23,669",244,"$56,029",4.9%,"$1,233 ",3.1%,"$206,073"
250,Sberbank,Russia,"210,661",270,"$55,877",11.1%,"$3,959 ",-76.7%,"$564,401"
251,Banco do Brasil,Brazil,"85,953",465,"$55,870",82.6%,"$5,353 ",57.4%,"$379,820"
252,China Electronics Technology Group,China,"235,912",233,"$55,848",0.7%,"$2,665 ",23.9%,"$86,146"
253,American Express,U.S.,"77,300",320,"$55,625",27.4%,"$7,514 ",-6.8%,"$228,354"
254,Rio Tinto Group,Britain,"53,726",201,"$55,554",-12.5%,"$12,420 ",-41.1%,"$96,744"
255,Publix Super Markets,U.S.,"242,000",283,"$54,942",13.5%,"$2,918 ",-33.9%,"$31,047"
256,China Energy Engineering Group,China,"116,263",269,"$54,890",9.0%,$545 ,-9.3%,"$98,548"
257,Tsingshan Holding Group,China,"100,982",238,"$54,711",0.3%,"$1,457 ",-38.9%,"$20,139"
258,Korea Electric Power,South Korea,"49,237",249,"$54,650",4.4%,"-$18,954 ",-,"$186,655"
259,Koç Holding,Turkey,"114,677",357,"$54,467",39.6%,"$4,216 ",146.6%,"$84,577"
260,Shanghai Pudong Development Bank,China,"64,731",226,"$54,028",-4.9%,"$7,607 ",-7.4%,"$1,262,056"
